elapsedMs,gnssMode,gnssFixAccuracyM,gnssFixAgeMs,gnssSpeedMps,drVelocityEastMps,drVelocityNorthMps,linearAccelMagnitudeMps2,gyroMagnitudeRadPerSec,isStationary,rawLinearAccelMagnitudeMps2,rawGyroMagnitudeRadPerSec
16841,GNSS_AIDED,2.6,1090,4.728753,0.0,0.0,13.152897957375776,1.0471945269085998,true,25.544931357637395,2.686896562576294
16940,GNSS_AIDED,2.6,1090,4.728753,0.0,0.0,4.085764350083965,2.490532649969736,true,17.705471007947832,5.272428512573242
17040,GNSS_AIDED,2.533,288,4.3071957,0.0,0.0,10.114242459528233,0.5445350020828759,true,19.058840046001922,1.6584761142730713
17141,GNSS_AIDED,2.533,288,4.3071957,0.0,0.0,12.045611012587537,0.19190881717394778,true,21.448168151372762,0.3224128782749176
17241,GNSS_AIDED,2.533,489,4.3071957,0.0,0.0,13.364837245316501,4.652233738018609,true,17.000110401468262,8.271713256835938
17343,GNSS_AIDED,2.533,489,4.3071957,0.0,0.0,18.343815654487354,2.3039306181842925,true,24.622206656622875,1.2434543371200562
17451,GNSS_AIDED,2.533,690,4.3071957,-0.2622829758592263,0.47978083638940466,7.431055769548083,1.3524290243312775,false,19.83744824888886,1.0066938400268555
17541,GNSS_AIDED,2.533,690,4.3071957,-0.5404527199793765,0.9926535315531434,11.315119397444738,0.8881918653829569,false,16.904798903490725,2.4592208862304688
17642,GNSS_AIDED,2.533,890,4.3071957,-0.23914109388543747,0.4392322262600878,14.900388006384178,0.47231491379817353,false,24.405556018062388,0.7438885569572449
17743,GNSS_AIDED,2.533,890,4.3071957,0.3380073075618751,0.9558616131964986,15.189413743113294,1.9050831765619698,false,18.248564926217043,3.5188148021698
17843,GNSS_AIDED,2.533,1091,4.3071957,-0.28853674775396376,0.9263062296782901,11.903161693305709,1.729517001141299,false,12.422731168349996,1.6017345190048218
17948,GNSS_AIDED,2.533,1091,4.3071957,-0.4372549892283478,1.1054180611007915,12.4055558380236,0.2671621581060066,false,13.659715580448886,1.1136091947555542
18043,GNSS_AIDED,2.483,293,3.998877,-0.16390901219781026,1.3106336236692555,13.185290363314536,0.513861523488223,false,14.827211188529587,0.857307493686676
18148,GNSS_AIDED,2.483,293,3.998877,-0.051371731561944654,0.13145289953512682,1.5009433892924084,1.1933835287818544,false,8.046828821983251,1.7699403762817383
18248,GNSS_AIDED,2.483,493,3.998877,0.029559706039672718,0.886602338000868,9.259800767060627,1.051599745936834,false,15.512812923834153,2.7236762046813965
18347,GNSS_AIDED,2.483,493,3.998877,0.7349279118854148,-1.400729082311357,15.992889400682788,0.6712265724643235,false,35.25418086018198,1.9158132076263428
18445,GNSS_AIDED,2.483,694,3.998877,0.9724981565010776,-1.1904028597093574,15.333325369690264,2.729054419802693,false,15.652526231545954,5.327454090118408
18547,GNSS_AIDED,2.483,694,3.998877,0.27213849877952667,0.4159994614637346,6.2163134728504215,2.7209762461730076,false,18.459349092895224,2.7718212604522705
18647,GNSS_AIDED,2.483,894,3.998877,0.6413861208517511,0.5614042967357464,8.50553052979045,0.24175188986331925,false,12.01720250227353,2.3127949237823486
